Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Site Add to Scope Date Text,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Health Center Organization Contact Name,Health Center Organization Contact Telephone Number,Health Center Organization Contact Email Address,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009907,Lewiston Middle School-Based Health Center,75 Central Ave,Lewiston,ME,04240-6031,207-795-4180,www.communityclinicalservices.com,40,2,School,1,Active,201893,1558654145,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/24/2010,2010/08/24,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.20271034,44.10267499,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-007170,MIGRANT VOUCHER & MOBILE MEDICAL VAN NORTHERN ME,9 Green St,Augusta,ME,04330-7451,207-622-9252,www.mainemigrant.org,30,7,All Other Clinic Types,1,Active,,,5,Mobile Van,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,01/07/1991,1991/01/07,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-69.77644094,44.31281438,Y,N,N,23011,Kennebec County,Kennebec,County            ,01,Region 1,23,Maine,2301,01,Maine District 01,ME-01,Chellie Pingree,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-008928,Health Access Network Lincoln,175 W Broadway,Lincoln,ME,04457-4000,207-794-6700,,50,7,All Other Clinic Types,1,Active,201856,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/29/2009,2009/06/29,"Health Access Network, Inc.",175 W Broadway,Lincoln,ME,04457-4000,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.52218091,45.36056615,Y,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031468,Temporary Site - Ramada Inn,357 Odlin Rd,Bangor,ME,04401-6703,207-620-1406,,40,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/15/2020,2020/10/15,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-68.81229744,44.78815399,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-006729,MSAD #70 Hodgdon High School,174 Hodgdon Mills Rd,Hodgdon,ME,04730-4278,207-538-3700,www.kvhc.org,4,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,09/20/2007,2007/09/20,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.86444509,46.05422475,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-027792,Penobscot Pediatrics,6 Telcom Dr,Bangor,ME,04401-3072,207-992-9200,,72,7,All Other Clinic Types,1,Active,201872,1568555498,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/23/2019,2019/05/23,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.81233809,44.81754145,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-004827,EASTPORT HEALTH CARE,55 Franklin St,Calais,ME,04619-1301,207-454-3022,http://www.eastporthealth.org,32,7,All Other Clinic Types,1,Active,201857,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/2006,2006/01/01,Eastport Health Care Inc,30 Boynton St,Eastport,ME,04631-1306,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.26910407,45.18089842,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-005466,BINGHAM AREA HEALTH CENTER,237 Main St,Bingham,ME,04920-4015,207-672-4187,www.healthreachchc.org,51.5,7,All Other Clinic Types,1,Active,201804,1942273727,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/01/1976,1976/01/01,Healthreach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-69.88211227,45.05266842,Y,N,N,23025,Somerset County,Somerset,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019496,KVHC Houlton Southside School,65 South St,Houlton,ME,04730-1550,207-538-3700,www.kvhc.org,8,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/10/2017,2017/04/10,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.84669742,46.11137454,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009911,Auburn Middle School-Based Health Center,38 Falcon Dr,Auburn,ME,04210-4384,207-783-3984,www.communityclinicalservices.com,40,2,School,1,Active,201897,1447542071,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/24/2010,2010/08/24,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.25046246,44.09195253,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-028145,MMHP Milbridge,4 Maple St,Milbridge,ME,04658-3427,207-485-2779,mainemobile.org,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,08/07/2019,2019/08/07,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-67.88385745,44.538626,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031466,Temporary Site - Quality Inn Bangor Mall,750 Hogan Rd,Bangor,ME,04401-3604,207-620-1406,,40,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/15/2020,2020/10/15,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,ME,04330-7451,,,,"Corporate Entity, Federal Tax Exempt",Y,N,N,N,N,-68.74386172,44.83986862,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-002559,"REGIONAL MEDICAL CENTER AT LUBEC, INC.",43 S Lubec Rd,Lubec,ME,04652-3620,207-733-1090,www.rmcl.org,44,7,All Other Clinic Types,1,Active,201826,1740283977,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/01/1973,1973/07/01,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,ME,04652-3620,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-66.99929128,44.84599311,Y,N,N,23029,Washington County,Washington,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-027767,Bucksport High School,102 Broadway,Bucksport,ME,04416-4610,207-469-7371,,32,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/16/2019,2019/05/16,Bucksport Regional Health Center,110 Broadway,Bucksport,ME,04416-4612,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.78221999,44.57588925,Y,N,N,23009,Hancock County,Hancock,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-012310,Fort Kent Health Education & Training Center,3 Mountainview Dr,Fort Kent,ME,04743-1614,207-316-6446,www.frrh.org,45,7,All Other Clinic Types,1,Active,201801,1174741094,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/16/2013,2013/01/16,Fish River Rural Health,10 Carter St,Eagle Lake,ME,04739-3060,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.59172129,47.26810857,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-000964,EASTSIDE REHAB & LIVING CTR,516 Mount Hope Ave,Bangor,ME,04401-4215,207-947-6131,,24,4,Nursing Home,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/2005,2005/01/02,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.74521238,44.82125086,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-005124,Katahdin Valley Health Center Houlton,59 Bangor St,Houlton,ME,04730-1740,207-538-3700,www.kvhc.org,80,7,All Other Clinic Types,1,Active,201852,1376618546,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,03/09/2005,2005/03/09,Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-67.84656205,46.12301474,Y,N,N,23003,Aroostook County,Aroostook,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-010558,Brewer Community School,92 Pendleton St,Brewer,ME,04412-1776,207-992-2393,,25,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/23/2011,2011/05/23,Penobscot Community Health Center,103 Maine Ave,Bangor,ME,04401-4330,,,,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,-68.77078866,44.775521,N,N,N,23019,Penobscot County,Penobscot,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009913,Edward Little High School-Based Health Center,77 Harris St,Auburn,ME,04210-4671,207-782-6827,www.communityclinicalservices.com,40,2,School,1,Active,201894,1942592571,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,08/24/2010,2010/08/24,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,ME,04240,Coleen  Elias,207-513-3897,celias@stmarysmaine.com,NA,NA,NA,NA,NA,NA,-70.23472058,44.09456366,N,N,N,23001,Androscoggin County,Androscoggin,County            ,01,Region 1,23,Maine,2302,02,Maine District 02,ME-02,Jared F. Golden,Susan M. Collins,"Angus S. King, Jr.",2022/04/16,04/16/2022
